"New password","새 비밀번호"
"Menu","메뉴"
"Skip to content","내용으로 바로가기"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">발행됨 </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"전체 사이즈 이미지로 링크\">%s &times; %s</a> in <a href=\"%s\" title=\"%s로 돌아가기\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; 이전"
"Next &rarr;","다음 &rarr;"
"No posts to display","표시할 글 없음"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","첫번째 글을 발행할 준비가 되었나요? <a href=\"%s\">이곳에서 시작하세요.</a>"
"Search Results for: %s","검색 결과 : %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","죄송합니다. 입력한 검색어에 해당하는 항목이 없습니다. 다른 키워드로 바꿔서 시도해보세요."
"Tag Archives: %s","태그 글목록: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","워드프레스 2012 테마는 어떤 기기에도 어울리는 반응형 테마입니다. 특징은 고유의 위젯을 가진 전면 페이지 템플릿이 있으며 옵션 폰트, 목록 및 단일 글 보기에서 글 형식 스타일, 사이드바 없는 페이지 템플릿입니다. 사용자 정의 메뉴, 헤더 이미지, 배경으로 테마를 당신 것으로 만드세요."
"the WordPress team","워드프레스 팀"
"Front Page Template","전면 페이지 템플릿"
