"New password","Kata sandi baru"
"Insert new layer","Sisipkan layer baru"
"Move forward","Maju"
"Move backward","Mundur"
"Toggle absolute positioning","Tukar balik peletakan absolut"
"New layer...","Lapisan baru ..."
"Cancel all changes","Batalkan seluruh perubahan"
"Insert non-breaking space character","Sisipkan karakter spasi"
"Run spell checking","Jalankan pemeriksaan ejaan"
"ieSpell not detected. Do you want to install it now?","ieSpell tidak terdeteksi. Apakah Anda ingin menginstalnya sekarang?"
"Horizontal rule","Garis Horizontal"
"Emotions","Emosi"
"Find","Temukan"
"Find/Replace","Temukan/Ganti"
"Insert/edit image","Sisipkan/sunting gambar"
"Insert/edit link","Sisipkan/sunting taut"
"Citation","Citasi"
"Abbreviation","Singkatan"
"Acronym","Akronim"
"Deletion","Penghapusan"
"Insertion","Penyisipan"
"Insert/Edit Attributes","Sisipkan/Sunting Atribut"
"Edit CSS Style","Sunting Gaya CSS"
"Paste as Plain Text","Tempel sebagai Teks Murni"
"Paste from Word","Tempel dari Word"
"Select All","Pilih Semua"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Tempel sekarang dalam mode teks biasa. Klik lagi untuk beralih kembali ke modus tempel biasa. Setelah Anda tempel sesuatu, Anda akan dikembalikan ke mode tempel biasa."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Sekarang tempel <em>(paste)</em> berfungsi dalam mode teks biasa. Klik lagi untuk beralih kembali ke modus tempel biasa."
"Use CTRL+V on your keyboard to paste the text into the window.","Gunakan CTRL+V pada papan ketik Anda untuk menempelkan teks ke dalam jendela."
"Keep linebreaks","Biarkan pergantian baris"
"Inserts a new table","Sisipkan sebuah tabel baru"
"Insert row before","Sisipkan baris sebelum"
"Insert row after","Sisipkan baris setelah"
"Delete row","Hapus baris"
"Insert column before","Sisipkan kolom sebelum"
"Insert column after","Sisipkan kolom setelah"
"Remove column","Hilangkan kolum"
"Split merged table cells","Belah sel tabel yang tergabung"
"Merge table cells","Gabung sel tabel"
"Table row properties","Properti baris tabel"
"Table cell properties","Properti tabel sel"
"Table properties","Properti tabel"
"Paste table row before","Tempel baris tabel sebelum"
"Paste table row after","Tempel baris tabel setelah"
"Cut table row","Potong baris tabel"
"Copy table row","Salin baris tabel"
"Delete table","Hapus tabel"
"Row","Baris"
"Column","Kolom"
"Cell","Sel"
"The changes you made will be lost if you navigate away from this page.","Perubahan yang Anda buat akan hilang jika Anda meninggalkan halaman ini."
"Toggle fullscreen mode (Alt + Shift + G)","Ubah moda layar-penuh (Alt + Shift + G)"
"Insert / edit embedded media","Sisipkan / sunting media yang ditempelkan"
"Edit embedded media","Sunting media yang ditempelkan"
"Document properties","Properti dokumen"
"Insert predefined template content","Sisipkan konten templat yang telah dipersiapkan"
"Visual control characters on/off.","Karakter kendali visual hidup/mati."
"Toggle spellchecker (Alt + Shift + N)","Pemeriksa ejaan (Alt + Shift + N)"
"Spellchecker settings","Pengaturan pemeriksa ejaan"
"Ignore word","Hiraukan kata"
"Ignore all","Hiraukan semua"
"Languages","Bahasa"
"Please wait...","Silakan tunggu..."
"Suggestions","Saran"
"No suggestions","Tak ada saran"
"This is somewhat embarrassing, isn&rsquo;t it?","Ini memalukan, bukan?"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Rupanya kami tidak dapat menemukan hal yang sedang Anda cari. Cobalah pada pencarian."
"Daily Archives: %s","Arsip Harian: %s"
"Monthly Archives: %s","Arsip Bulanan: %s"
"Yearly Archives: %s","Arsip Tahunan: %s"
"Author Archives: %s","Arsip Penulis: %s"
"About %s","Tentang %s"
"Category Archives: %s","Arsip Kategori: %s"
"One thought on &ldquo;%s&rdquo;","Satu gagasan untuk &ldquo;%s&rdquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s gagasan untuk &ldquo;%s&rdquo;"
"Comment navigation","Navigasi komentar"
"&larr; Older Comments","&larr; Komentar Lama"
"Newer Comments &rarr;","Komentar Lebih Baru &rarr;"
"Permalink to %s","Permalink untuk %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Lanjut membaca <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Berikan sebuah balasan"
"1 Reply","1 Balasan"
"%s Replies","%s Balasan"
"Nothing Found","Tidak Ditemukan"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Maaf, tapi tidak ada hasil pencarian. Mungkin pencarian dapat menemukan tulisan yang terkait."
"Featured post","Tulisan Terfitur"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Tampilkan semua tulisan oleh %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Platform Penerbitan Pribadi yang bersifat Semantik"
"Proudly powered by %s","Dengan bangga bertenaga %s"
"Primary Menu","Menu Utama"
"on","aktif"
"no-subset","tanpa-subset"
"Page %s","Laman %s"
"Main Sidebar","Bilah Sisi Utama"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Tampak pada tulisan dan halaman kecuali templat Halaman Depan opsional, yang sudah memiliki widgetnya tersendiri"
"First Front Page Widget Area","Area Widget Halaman Utama Pertama"
"Appears when using the optional Front Page template with a page set as Static Front Page","Tampak ketika menggunakan templat Halaman Depan opsional dengan sebuah halaman diatur sebagai Halaman Depan Statik"
"Second Front Page Widget Area","Area Widget Halaman Utama Kedua"
"Post navigation","Navigasi Tulisan"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Tulisan lebih lama"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Tulisan lebih baru <span class=\"meta-nav\">&rarr;</span>"
"Pingback:","Ping-balik:"
"Post author","Penulis"
"View all posts by %s","Lihat semua tulisan oleh %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Entri ini ditulis di %s dan ber-tag %s pada %s<span class=\"by-author\"> oleh %s</span>."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Entri ini ditulis di %s pada %s<span class=\"by-author\"> oleh %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Entri ini ditulis pada %s<span class=\"by-author\"> oleh %s</span>."
"Skip to content","Lewati ke konten"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Diterbitkan </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> di <a href=\"%s\" title=\"Taut ke gambar ukuran penuh\">%s &times; %s</a> dalam <a href=\"%s\" title=\"Kembali ke %s\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; Sebelumnya"
"Next &rarr;","Selanjutnya &rarr;"
"No posts to display","Tidak ada tulisan untuk ditampilkan"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","Siap untuk menerbitkan tulisan pertamamu? <a href=\"%s\">Mulai di sini</a>."
"Search Results for: %s","Hasil Pencarian untuk: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Maaf, tidak ada yang sesuai dengan kriteria pencarian Anda. Mohon coba lagi dengan kata kunci yang lain."
"Tag Archives: %s","Arsip Tag: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","Tema 2012 untuk WordPress adalah tema yang sepenuhnya responsif yang terlihat indah di semua perangkat. Fitur-fiturnya meliputi templat halaman depan dengan widget khusus, tampilan huruf opsional, penggayaan untuk format tulisan baik indeks dan tampilan tunggal, dan templat halaman tanpa bilah sisi. Buat sesuai keinginan Anda dengan menu tersuai, gambar tajuk, dan latar belakang tersuai."
"the WordPress team","Tim WordPress"
"Front Page Template","Templat Halaman Depan"
