"New password","Yeni parola"
"%s %s Comments Feed","%s %s Yorum Beslemesi"
"%s %s %s Comments Feed","%s %s %s Yorum Beslemesi"
"%s %s %s Category Feed","%s %s %s Kategori Beslemesi"
"%s %s %s Tag Feed","%s %s %s Etiket Beslemesi"
"%s %s Posts by %s Feed","%s Beslemesi için %s %s Yazıları"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s &#8220;%s&#8221; Beslemesi için Arama Sonuçları"
"%s %s %s Feed","%s %s %s Beslemesi"
"&laquo; Previous","&laquo; Önceki"
"Next &raquo;","Sonraki &raquo;"
"Blue","Mavi"
"Gray","Gri"
"Do you want to use the WYSIWYG mode for this textarea?","Bu metin alanı için zengin metin editörünü kullanmak ister misiniz?"
"Apply","Uygula"
"Insert","Ekle"
"Close","Kapat"
"Browse","Gözat"
"Class","Sınıf"
"-- Not set --","-- Ayarlanmamış --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Mozilla ve Firefox'ta Kopyala/Kes/Yapıştır işlemleri kullanılamaz."
"Currently not supported by your browser, use keyboard shortcuts instead.","Şu anda mevcut tarayıcınız tarafından desteklenmiyor, bunun yerine klavye kısayollarını kullanın."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Açılır pencere engelleyiciniz uygulamanın çalışması için gerekli bir pencerenin açılmasını engelledi. Bu aracı tam anlamıyla kullanabilmek için bu sitede açılır pencere engelleyicinizi kapamalı ya da gerekli ayarları yapmalısınız."
"ERROR: Invalid values entered, these are marked in red.","HATA: Geçersiz değerler girilen değerler kırmızı ile işaretlendi."
"{#field} must be a number","{#field} sayı olmalı"
"{#field} must be a number greater than {#min}","{#field} {#min} değerinden büyük bir sayı olmalıdır"
"{#field} must be a number or percentage","{#field} bir sayı ya da yüzde olmalı"
"More colors","Daha çok renk"
"Black","Siyah"
"Burnt orange","Yanık turuncu"
"Dark olive","Koyu yeşil"
"Dark green","Koyu yeşil"
"Dark azure","Koyu gök mavisi"
"Navy Blue","Ordu mavisi"
"Very dark gray","Çok koyu gri"
"Maroon","Bordo"
"Orange","Turuncu"
"Olive","Zeytin yeşili"
"Green","Yeşil"
"Teal","Deniz mavisi"
"Grayish blue","Griye kaçan mavi"
"Red","Kırmızı"
"Yellow green","Sarı yeşil"
"Sea green","Deniz yeşili"
"Turquoise","Turkuvaz"
"Royal blue","Royal mavi"
"Purple","Mor"
"Medium gray","Orta gri"
"Magenta","Mora çalan kırmızı"
"Gold","Altın"
"Yellow","Sarı"
"Lime","Limon yeşili"
"Aqua","Açık deniz mavisi"
"Sky blue","Gök mavisi"
"Brown","Kahverengi"
"Silver","Gümüş"
"Pink","Pembe"
"Peach","Şeftali"
"Light yellow","Açık sarı"
"Pale green","Soluk yeşil"
"Pale cyan","Soluk cam göbeği"
"Light sky blue","Açık gök mavisi"
"Plum","Erik moru"
"White","Beyaz"
"Alignment","Hizalama"
"Full","Tamamı"
"Insert date","Tarih ekle"
"Insert time","Saat ekle"
"January","Ocak"
"February","Şubat"
"March","Mart"
"April","Nisan"
"May","Mayıs"
"June","Haziran"
"July","Temmuz"
"August","Ağustos"
"September","Eylül"
"October","Ekim"
"November","Kasım"
"December","Aralık"
"Jan_January_abbreviation","Oca"
"Feb_February_abbreviation","Şub"
"Mar_March_abbreviation","Mar"
"Apr_April_abbreviation","Nis"
"May_May_abbreviation","May"
"Jun_June_abbreviation","Haz"
"Jul_July_abbreviation","Tem"
"Aug_August_abbreviation","Ağu"
"Sep_September_abbreviation","Eyl"
"Oct_October_abbreviation","Eki"
"Nov_November_abbreviation","Kas"
"Dec_December_abbreviation","Ara"
"Sunday","Pazar"
"Monday","Pazartesi"
"Tuesday","Salı"
"Wednesday","Çarşamba"
"Thursday","Perşembe"
"Friday","Cuma"
"Saturday","Cumartesi"
"Sun","Paz"
"Mon","Pts"
"Tue","Sal"
"Wed","Çar"
"Thu","Per"
"Fri","Cum"
"Sat","Cts"
"Print","Yazdır"
"Preview","Önizleme"
"Direction left to right","Soldan sağa"
"Direction right to left","Sağdan sola"
"Insert new layer","Yeni katman ekle"
"Move forward","İleri git"
"Move backward","Geri dön"
"Toggle absolute positioning","Kesin konumlamayı değiştir"
"New layer...","Yeni katman..."
"Cancel all changes","Tüm değişiklikleri iptal et"
"Insert non-breaking space character","Boşluk karakteri ekle"
"Run spell checking","İmla denetimi yap"
"ieSpell not detected. Do you want to install it now?","ieSpell bulunamadı. Şimdi yüklemek ister misiniz?"
"Horizontal rule","Yatay çizgi"
"Emotions","İfadeler"
"Find","Bul"
"Find/Replace","Bul/Değiştir"
"Insert/edit image","Resim ekle/düzenle"
"Insert/edit link","Bağlantı Ekle/Düzenle"
"Citation","Alıntı"
"Abbreviation","Kısaltma"
"Acronym","Eşanlamlı"
"Deletion","Silme"
"Insertion","Ekleme"
"Insert/Edit Attributes","Özellik Ekle/Düzenle"
"Edit CSS Style","CSS Stilini Düzenle"
"Paste as Plain Text","Salt Metin olarak Yapıştır"
"Paste from Word","Word'den Yapıştır"
"Select All","Hepsini Seç"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Yapıştırma şu an yalın metin modunda. Tekrar tıklayarak normal yapıştırma moduna geçebilirsiniz. Herhangi bir şey yapıştırdıktan sonra normal yapıştırma moduna dönersiniz."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Yapıştırma şu an yalın metin modunda. Tekrar tıklayarak normal yapıştırma moduna geçebilirsiniz."
"Use CTRL+V on your keyboard to paste the text into the window.","Pencereye metin yapıştırmak için CTRL+V tuş kombinasyonunu kullanın."
"Keep linebreaks","Satır sonlarını sakla"
"Inserts a new table","Yeni tablo ekle"
"Insert row before","Önüne satır ekle"
"Insert row after","Ardına satır ekle"
"Delete row","Satırı sil"
"Insert column before","Önüne sütun ekle"
"Insert column after","Ardına sütun ekle"
"Remove column","Sütunu kaldır"
"Split merged table cells","Birleştirilmiş tablo hücrelerini ayır"
"Merge table cells","Tablo hücrelerini birleştir"
"Table row properties","Tablo satırı özellikleri"
"Table cell properties","Tablo hücresi özellikleri"
"Table properties","Tablo özellikleri"
"Paste table row before","Tablo satırını önüne yapıştır"
"Paste table row after","Tablo satırını ardına yapıştır"
"Cut table row","Tablo satırını kes"
"Copy table row","Tablo satırını kopyala"
"Delete table","Tabloyu sil"
"Row","Satır"
"Column","Sütun"
"Cell","Hücre"
"The changes you made will be lost if you navigate away from this page.","Bu sayfadan ayrılırsanız yapmış olduğunuz değişiklikler kaybolacaktır."
"Toggle fullscreen mode (Alt + Shift + G)","Tam ekran modu (Alt + Shift + G)"
"Insert / edit embedded media","Gömülü ortam ekle / düzenle"
"Edit embedded media","Gömülü ortamı düzenle"
"Document properties","Belge özellikleri"
"Insert predefined template content","Öntanımlı şablon içeriği ekle"
"Visual control characters on/off.","Görsel kontrol karakterleri açık/kapalı."
"Toggle spellchecker (Alt + Shift + N)","Yazım denetimi (Alt + Shift + N)"
"Spellchecker settings","İmla kılavuzu ayarları"
"Ignore word","Kelimeyi göz ardı et"
"Ignore all","Hepsini göz ardı et"
"Languages","Diller"
"Please wait...","Lütfen bekleyin..."
"Suggestions","Öneriler"
"No suggestions","Öneri yok"
"This is somewhat embarrassing, isn&rsquo;t it?","Biraz utanç verici, değil mi?"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Aradığınız sayfa bulunamadı. Belki arama kutusu aradığınızı bulma konusunda yardımcı olabilir."
"Daily Archives: %s","Günlük arşivler: %s"
"Monthly Archives: %s","Aylık arşivler: %s"
"Yearly Archives: %s","Yıllık arşivler: %s"
"Author Archives: %s","Yazar arşivleri: %s"
"About %s","%s hakkında"
"Category Archives: %s","Kategori arşivi: %s"
"One thought on &ldquo;%s&rdquo;","&ldquo;%s&rdquo; üzerine bir düşünce"
"%s thoughts on &ldquo;%s&rdquo;","&ldquo;%s&rdquo; üzerine %s düşünce"
"Comment navigation","Yorum dolaşımı"
"&larr; Older Comments","&arr; Eski yorumlar"
"Newer Comments &rarr;","Yeni yorumlar &arr;"
"Permalink to %s","%s için kalıcı bağlantı"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Okumaya devam et <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Bir yanıt bırakın"
"1 Reply","1 Yanıt"
"%s Replies","%s Yanıt"
"Nothing Found","Bulunamadı"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Üzgünüz, fakat hiç sonuç bulunamadı. Belki arama kutusunu kullanarak ilişkili bir yazı bulabilirsiniz."
"Featured post","Öne çıkarılan yazı"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","%s tarafından yazılan yazılar <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Anlamlı kişisel yayınlama platformu"
"Proudly powered by %s","%s gururla sunar"
"Primary Menu","Birincil menü"
"on","açık"
"no-subset","alt set yok"
"Page %s","Sayfa %s"
"Main Sidebar","Birincil yan sütun"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Sayfalar ve yazılarda görünür fakat kendine ait bileşenlere sahip isteğe bağlı ön sayfa şablonlarında görünmez."
"First Front Page Widget Area","İlk ön sayfa bileşen alanı"
"Appears when using the optional Front Page template with a page set as Static Front Page","Sadece isteğe bağlı ön sayfa şablonu statik ön sayfa olarak kullanıldığında görünür."
"Second Front Page Widget Area","İkinci ön sayfa bileşen alanı"
"Post navigation","Yazı dolaşımı"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Eski yazılar"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Yeni yazılar <span class=\"meta-nav\">&rarr;</span>"
"Pingback:","Geri izleme:"
"Post author","Yazar"
"View all posts by %s","%s tarafından yazılmış tüm yazıları görüntüle"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","%s içinde %s etiketleriyle %s tarihinde <span class=\"by-author\">%s</span> tarafınadan gönderildi."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Bu yazı %s kategorisine %s tarihinde<span class=\"by-author\"> %s</span> tarafından gönderildi."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Bu yazı %s kategorisine <span class=\"by-author\">%s</span> tarafından gönderildi."
"Menu","Menü"
"Skip to content","İçeriğe geç"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Yayın tarihi </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"%s geri dön\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; Önceki"
"Next &rarr;","Sonraki &arr;"
"No posts to display","Gösterilecek yazı yok"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","İlk yazınızı yayınlamaya hazır mısınız? <a href=\"%s\">Buradan başlayın</a>."
"Search Results for: %s","Arama sonuçları: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Üzgünüm, arama kriterlerinizle örtüşen sonuç bulunamadı. Farklı anahtar kelimelerle tekrar deneyin."
"Tag Archives: %s","Etiket arşivi: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","WordPress 2012 teması herhangi bir cihaz üzerinde harika görünür ve tam olarak uyumlu bir temadır. Özellikleri; kendi bileşenleri ile bir ön sayfa şablonu, isteğe bağlı yazı tipi, indeks ve yazı görünümleri için stil formatları, ve isteğe bağlı bir yan menüsüz sayfa şablonu bulunmaktadır. Bir özel menü, başlık görseli ve arka plan ile gönlünüzce özelleştirin."
"the WordPress team","WordPress ekibi"
"Front Page Template","Ön sayfa şablonu"
