"New password","Neues Passwort"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s Suchergebnisse für &#8220;%s&#8221; Feed"
"&laquo; Previous","&laquo; Zurück"
"Next &raquo;","Weiter &raquo;"
"Blue","Blau"
"Gray","Grau"
"Do you want to use the WYSIWYG mode for this textarea?","Möchtest Du den WYSIWYG-Modus für dieses Textfeld benutzen?"
"Apply","Übernehmen"
"Insert","Einfügen"
"Close","Schließen"
"Browse","Durchsuchen"
"Class","Klasse"
"-- Not set --","-- Leer --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Kopieren, Ausschneiden und Einfügen ist in Mozilla und Firefox nicht verfügbar."
"Currently not supported by your browser, use keyboard shortcuts instead.","Wird zur Zeit von deinem Browser nicht unterstützt, benutze stattdessen Tastenkürzel."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Dein Pop-up-Blocker hat die Anzeige eines Fensters mit wichtigen Programmfunktionen unterbunden. Um diese Seite vollumfänglich nutzen zu können, musst du deren Pop-ups zulassen."
"ERROR: Invalid values entered, these are marked in red.","FEHLER: Es wurden ungültige Werte eingegeben, sie wurden rot gekennzeichnet."
"{#field} must be a number","{#field} muss eine Zahl sein"
"{#field} must be a number greater than {#min}","{#field} muss eine Zahl größer als {#min} sein"
"{#field} must be a number or percentage","{#field} muss eine Zahl oder Prozentangabe sein"
"More colors","Weitere Farbe"
"Black","Schwarz"
"Burnt orange","Dunkles Orange"
"Dark olive","Dunkles Oliv"
"Dark green","Dunkles Grün"
"Dark azure","Dunkles Azurblau"
"Navy Blue","Marineblau"
"Very dark gray","Sehr dunkles Grau"
"Maroon","Kastanienbraun"
"Olive","Oliv"
"Green","Grün"
"Teal","Petrol"
"Grayish blue","Graublau"
"Red","Rot"
"Amber","Bernstein"
"Yellow green","Gelbgrün"
"Sea green","Meergrün"
"Turquoise","Türkis"
"Royal blue","Königsblau"
"Purple","Violett"
"Medium gray","Mittelgrau"
"Yellow","Gelb"
"Lime","Hellgrün"
"Aqua","Aquamarin"
"Sky blue","Himmelblau"
"Brown","Braun"
"Silver","Silber"
"Peach","Pfirsich"
"Light yellow","Hellgelb"
"Pale green","Blasses Grün"
"Pale cyan","Blasses Zyan"
"Light sky blue","Helles Himmelblau"
"Plum","Pflaume"
"White","Weiss"
"Alignment","Ausrichtung"
"Full","Blocksatz"
"Insert date","Datum einfügen"
"Insert time","Zeit einfügen"
"January","Januar"
"February","Februar"
"March","März"
"May","Mai"
"June","Juni"
"July","Juli"
"October","Oktober"
"December","Dezember"
"Jan_January_abbreviation","Jan_Januar_abbreviation"
"Feb_February_abbreviation","Feb_Februar_abbreviation"
"Mar_March_abbreviation","Mrz_März_abbreviation"
"May_May_abbreviation","Mai_Mai_abbreviation"
"Jun_June_abbreviation","Jun_Juni_abbreviation"
"Jul_July_abbreviation","Jul_Juli_abbreviation"
"Oct_October_abbreviation","Okt_Oktober_abbreviation"
"Dec_December_abbreviation","Dez_Dezember_abbreviation"
"Sunday","Sonntag"
"Monday","Montag"
"Tuesday","Dienstag"
"Wednesday","Mittwoch"
"Thursday","Donnerstag"
"Friday","Freitag"
"Saturday","Samstag"
"Sun","So"
"Mon","Mo"
"Tue","Di"
"Wed","Mi"
"Thu","Do"
"Fri","Fr"
"Sat","Sa"
"Print","Drucken"
"Preview","Vorschau"
"Direction left to right","Von links nach rechts"
"Direction right to left","Von rechts nach links"
"Insert new layer","Neue Ebene einfügen"
"Move forward","Vorwärts gehen"
"Move backward","Rückwärts gehen"
"Toggle absolute positioning","Absolute Platzierung ein/aus"
"New layer...","Neue Ebene …"
"Cancel all changes","Alle Änderungen verwerfen"
"Insert non-breaking space character","Geschütztes Leerzeichen einfügen"
"Run spell checking","Rechtschreibprüfung durchführen"
"ieSpell not detected. Do you want to install it now?","ieSpell nicht gefunden. Jetzt installieren?"
"Horizontal rule","Horizontale Linie"
"Emotions","Gefühle"
"Find","Suchen"
"Find/Replace","Suchen/Ersetzen"
"Insert/edit image","Bild einfügen/ändern"
"Insert/edit link","Link einfügen/ändern"
"Citation","Zitat"
"Abbreviation","Abkürzung"
"Acronym","Akronym"
"Deletion","Löschung"
"Insertion","Einfügung"
"Insert/Edit Attributes","Attribute einfügen/ändern"
"Edit CSS Style","Stylesheet bearbeiten"
"Paste as Plain Text","Als unformatierten Text einfügen"
"Paste from Word","Aus Word einfügen"
"Select All","Alle auswählen"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Einfügen ist nun im Modus für unformatierten Text. Klicke noch mal, um zum normalen Einfügemodus zurückzukehren. Nach dem du etwas eingefügt hast, wird wieder zum normalen Modus gewechselt."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Einfügen ist nun im Modus für unformatierten Text. Klicke noch mal, um zum normalen Einfügemodus zurückzukehren."
"Use CTRL+V on your keyboard to paste the text into the window.","STRG+V drücken, um den Text in das Fenster einzufügen."
"Keep linebreaks","Zeilenumbrüche erhalten"
"Inserts a new table","Neue Tabelle einfügen"
"Insert row before","Zeile einfügen"
"Insert row after","Zeile einfügen"
"Delete row","Zeile löschen"
"Insert column before","Spalte einfügen"
"Insert column after","Spalte einfügen"
"Remove column","Spalte entfernen"
"Split merged table cells","Verbundene Zellen wieder teilen"
"Merge table cells","Zellen verbinden"
"Table row properties","Zeileneigenschaften"
"Table cell properties","Zelleneigenschaften"
"Table properties","Tabelleneigenschaften"
"Paste table row before","Zeile mit Inhalt davor einfügen"
"Paste table row after","Zeile mit Inhalt danach einfügen"
"Cut table row","Zeile ausschneiden"
"Copy table row","Zeile kopieren"
"Delete table","Tabelle löschen"
"Row","Zeile"
"Column","Spalte"
"Cell","Zelle"
"The changes you made will be lost if you navigate away from this page.","Beim Verlassen der Seite werden deine Änderungen verworfen."
"Toggle fullscreen mode (Alt + Shift + G)","Vollbildmodus aktivieren (ALT + UMSCHALT + G)"
"Insert / edit embedded media","Medien einbetten/bearbeiten"
"Edit embedded media","Eingebettete Medien bearbeiten"
"Document properties","Dokumenteigenschaften"
"Insert predefined template content","Vordefinierten Template-Inhalt einfügen"
"Visual control characters on/off.","Sichtbare Steuerzeichen ein/aus."
"Toggle spellchecker (Alt + Shift + N)","Rechtschreibprüfung aktivieren (ALT + UMSCHALT + N)"
"Spellchecker settings","Einstellungen für die Rechtschreibprüfung"
"Ignore word","Wort ignorieren"
"Ignore all","Alles ignorieren"
"Languages","Sprachen"
"Please wait...","Bitte warten …"
"Suggestions","Vorschläge"
"No suggestions","Keine Vorschläge"
"This is somewhat embarrassing, isn&rsquo;t it?","Das ist irgendwie peinlich, oder?"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Es sieht so aus, als ob wir nicht das finden konnten, wonach du gesucht hast. Möglicherweise hilft die Suchfunktion."
"Daily Archives: %s","Archiv für den Tag: %s"
"Monthly Archives: %s","Archiv für den Monat: %s"
"Yearly Archives: %s","Archiv für das Jahr: %s"
"Author Archives: %s","Archiv für den Autor: %s"
"About %s","Über %s"
"Category Archives: %s","Kategorie-Archiv: %s"
"One thought on &ldquo;%s&rdquo;","Ein Gedanke zu &bdquo;%s&ldquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s Gedanken zu &bdquo;%s&ldquo;"
"Comment navigation","Kommentar-Navigation"
"&larr; Older Comments","&larr; Ältere Kommentare"
"Newer Comments &rarr;","Neuere Kommentare &rarr;"
"Permalink to %s","Permanentlink zu %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Weiterlesen <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Hinterlasse eine Antwort"
"1 Reply","1 Antwort"
"%s Replies","%s Antworten"
"Nothing Found","Nichts gefunden"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Bedaure bitte, aber es wurden keine Ergebnisse gefunden. Möglicherweise hilft die Suchfunktion passende Artikel."
"Featured post","Hervorgehobener Artikel"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Zeige alle Artikel von %s <span class=\"meta-nav\">&rarr;</span>"
"http://wordpress.org/","http://de.wordpress.org/"
"Proudly powered by %s","Stolz präsentiert von %s"
"Primary Menu","Primäres Menü"
"Page %s","Seite %s"
"Main Sidebar","Haupt-Seitenleiste"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Erscheint auf allen Artikelseiten und statischen Seiten außer dem optionalen Startseitetemplate, welches eigene Widgets hat."
"First Front Page Widget Area","Erster Startseiten Widget Bereich"
"Appears when using the optional Front Page template with a page set as Static Front Page","Erscheint, wenn das optionale Startseiten Template verwendet wird und die Seite als statische Startseite definiert wurde."
"Second Front Page Widget Area","Zweiter Startseiten Widget Bereich"
"Post navigation","Artikel-Navigation"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Ältere Artikel"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Neuere Artikel <span class=\"meta-nav\">&rarr;</span>"
"Post author","Artikelautor"
"View all posts by %s","Zeige alle Artikel von %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Dieser Beitrag wurde unter %s abgelegt und mit %s verschlagwortet am %s<span class=\"by-author\"> von %s</span>. "
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Dieser Beitrag wurde unter %s abgelegt am %s<span class=\"by-author\"> von %s</span>. "
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Dieser Beitrag wurde veröffentlicht am %s<span class=\"by-author\"> von %s</span>. "
"Menu","Menü"
"Skip to content","Zum Inhalt springen"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Veröffentlicht am </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> bei <a href=\"%s\" title=\"Originalgrösse anzeigen\">%s &times; %s</a> in <a href=\"%s\" title=\"Zurück zu %s\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; Zurück"
"Next &rarr;","Weiter &rarr;"
"No posts to display","Keine Artikel zum Anzeigen"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","Bereit den ersten Artikel zu veröffentlichen? <a href=\"%s\">Starte hier</a>."
"Search Results for: %s","Suchergebnisse für: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Entschuldige, aber es konnte nichts gefunden werden. Versuche es mit anderen Schlüsselwörtern erneut."
"Tag Archives: %s","Schlagwort-Archiv: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","Das 2012 Theme für WordPress ist ein komplett adaptives Theme (responsive theme), das auf jedem Ausgabegerät gut aussieht. Zu den Merkmalen gehören eine Startseiten-Vorlage mit eigenen Widgets, eine optionale Display-Schrift, Styling für Beitrags-Formate auf der Übersichts- und der Beitrags-Ansicht und eine optionale Seiten-Vorlage ohne Sidebar. Passe Menü, Header-Bild und Hintergrund deinen Vorstellungen an."
"the WordPress team","das WordPress-Team"
"Front Page Template","Startseiten Template"
