"New password","Uusi salasana"
"White","Valkoinen"
"Alignment","Asettelu"
"Full","täysi"
"%sH:%sM:%sS","%sH.%sM.%sS"
"Insert date","Lisää päiväys"
"Insert time","Lisää aika"
"January","tammikuu"
"February","helmikuu"
"March","maaliskuu"
"April","huhtikuu"
"May","toukokuu"
"June","kesäkuu"
"July","heinäkuu"
"August","elokuu"
"September","syyskuu"
"October","lokakuu"
"November","marraskuu"
"December","joulukuu"
"Jan_January_abbreviation","Tam_Tammikuu_abbreviation"
"Feb_February_abbreviation","Hel_Helmikuu_abbreviation"
"Mar_March_abbreviation","Maa_Maaliskuu_abbreviation"
"Apr_April_abbreviation","Huh_Huhtikuu_abbreviation"
"May_May_abbreviation","Tou_Toukokuu_abbreviation"
"Jun_June_abbreviation","Kes_Kesäkuu_abbreviation"
"Jul_July_abbreviation","Hei_Heinäkuu_abbreviation"
"Aug_August_abbreviation","Elo_Elokuu_abbreviation"
"Sep_September_abbreviation","Syy_Syyskuu_abbreviation"
"Oct_October_abbreviation","Lok_Lokakuu_abbreviation"
"Nov_November_abbreviation","Mar_Marraskuu_abbreviation"
"Dec_December_abbreviation","Jou_Joulukuu_abbreviation"
"Sunday","sunnuntai"
"Monday","maanantai"
"Tuesday","tiistai"
"Wednesday","keskiviikko"
"Thursday","torstai"
"Friday","perjantai"
"Saturday","lauantai"
"Sun","su"
"Mon","ma"
"Tue","ti"
"Wed","ke"
"Thu","to"
"Fri","pe"
"Sat","la"
"Print","Tulosta"
"Preview","Esikatsele"
"Direction left to right","Vasemmalta oikealle"
"Direction right to left","Oikealta vasemmalle"
"Insert new layer","Lue uusi taso"
"Move forward","Liiku eteenpäin"
"Move backward","Liiku taaksepäin"
"Toggle absolute positioning","Vaihda absoluuttinen asettelu"
"New layer...","Uusi taso..."
"Cancel all changes","Peruuta kaikki muutokset"
"Run spell checking","Suorita oikeinkirjoituksen tarkistus"
"ieSpell not detected. Do you want to install it now?","ieSpell-ohjelmaa ei havaittu. Haluatko asentaa sen nyt?"
"Horizontal rule","Vaakaviiva"
"Emotions","Hymiöt"
"Find","Etsi"
"Find/Replace","Etsi ja korvaa"
"Insert/edit image","Lisää kuva / Kuvan ominaisuudet"
"Insert/edit link","Lisää tai muokkaa linkkiä"
"Citation","Lainaus"
"Abbreviation","Lyhenne"
"Deletion","Poistaminen"
"Insertion","Lisääminen"
"Insert/Edit Attributes","Lisää/muokkaa määrityksiä"
"Edit CSS Style","Muokkaa CSS-tyyliä"
"Paste as Plain Text","Liitä muotoilemattomana"
"Paste from Word","Liitä Wordista"
"Select All","Valitse kaikki"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Tekstiä liitetään nyt muotoilemattomana tekstinä. Napsauta uudelleen vaihtaaksesi takaisin muotoiltuun tekstimoodiin. Tekstin liittämisen jälkeen normaali muotoiltu tekstimoodi otetaan käyttöön."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Tekstiä liitetään nyt muotoilemattomana tekstinä. Napsauta uudelleen vaihtaaksesi takaisin muotoiltuun tekstimoodiin."
"Use CTRL+V on your keyboard to paste the text into the window.","Käytä CTRL+V-pikanäppäintä liittääksesi tekstin. "
"Keep linebreaks","Säilytä rivinvaihdot"
"Inserts a new table","Lisää uuden taulukon"
"Insert row before","Lisää rivi ennen"
"Insert row after","Lisää rivi jälkeen"
"Delete row","Poista rivi"
"Insert column before","Lisää sarake ennen"
"Insert column after","Lisää sarake jälkeen"
"Remove column","Poista sarake"
"Split merged table cells","Erota yhdistetyt solut"
"Merge table cells","Yhdistä taulukon solut"
"Table row properties","Rivin ominaisuudet"
"Table cell properties","Solun ominaisuudet"
"Table properties","Taulukon ominaisuudet"
"Paste table row before","Liitä taulukon rivi ennen"
"Paste table row after","Liitä taulukon rivi jälkeen"
"Cut table row","Leikkaa taulukon rivi"
"Copy table row","Kopioi taulukon rivi"
"Delete table","Poista taulukko"
"Row","Rivi"
"Column","Sarake"
"Cell","Solu"
"The changes you made will be lost if you navigate away from this page.","Muutokset häviävät mikäli poistut tältä sivulta."
"Toggle fullscreen mode (Alt + Shift + G)","Koko näyttö (Alt + Shift + G)"
"Insert / edit embedded media","Lisää upotettu media / Upotetun median ominaisuudet"
"Edit embedded media","Muokkaa upotetun median asetuksia"
"Document properties","Asiakirjan ominaisuudet"
"Insert predefined template content","Lisää ennalta määräämätön sisältö"
"Visual control characters on/off.","Visual control characters on/off"
"Toggle spellchecker (Alt + Shift + N)","Näytä/Piilota oikeinkirjoituksen tarkistus (Alt + Shift + N)"
"Spellchecker settings","Oikeinkirjoituksen asetukset"
"Ignore word","Ohita sana"
"Ignore all","Ohita kaikki"
"Languages","Kielet"
"Please wait...","Odota..."
"Suggestions","Ehdotukset"
"No suggestions","Ei ehdotuksia."
"This is somewhat embarrassing, isn&rsquo;t it?","Tämäpä on jokseenkin noloa."
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Emme valitettavasti löytäneet etsimääsi. Ehkä hakutoiminnosta on apua."
"Daily Archives: %s","Arkistot päivämäärän mukaan: %s"
"Monthly Archives: %s","Arkistot kuukauden mukaan: %s"
"Yearly Archives: %s","Arkistot vuoden mukaan: %s"
"Author Archives: %s","Kirjoittajan arkistot: %s"
"About %s","Tietoja %s"
"Category Archives: %s","Aihearkisto: %s"
"One thought on &ldquo;%s&rdquo;","Yksi vastaus artikkeliin &rdquo;%s&rdquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s vastausta artikkeliin &rdquo;%s&rdquo;"
"Comment navigation","Kommenttien selaus"
"&larr; Older Comments","&larr; Vanhemmat kommentit"
"Newer Comments &rarr;","Uudemmat kommentit &rarr;"
"Permalink to %s","Kestolinkki: %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Lue loppuun <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Vastaa"
"1 Reply","1 vastaus"
"%s Replies","%s vastausta"
"Nothing Found","Mitään ei löytynyt."
"Apologies, but no results were found. Perhaps searching will help find a related post.","Valitettavasti mitään ei löytynyt. Ehkä löydät etsimäsi hakutoiminnon avulla."
"Featured post","Näytteillä oleva artikkeli"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Katso kaikki artikkelit kirjoittajalta %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Semanttinen, henkilökohtainen julkaisualusta"
"Proudly powered by %s","Voimanlähteenä %s"
"Primary Menu","Ensisijainen valikko"
"Page %s","Sivu %s"
"Main Sidebar","Sivupalkki"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Näytetään kaikilla sivuilla, lukuun ottamatta Etusivu-sivupohjaa, jolla on omat vimpaimensa."
"First Front Page Widget Area","Ensimmäinen etusivun vimpainalue"
"Appears when using the optional Front Page template with a page set as Static Front Page","Näytetään etusivulla silloin, kun etusivuksi on asetettu staattinen sivu, jolla käytetään valinnaista Etusivu-sivupohjaa."
"Second Front Page Widget Area","Toinen etusivun sivupohja"
"Post navigation","Artikkelien selaus"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Vanhemmat artikkelit"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Uudemmat artikkelit <span class=\"meta-nav\">&rarr;</span>"
"Pingback:","Päivitysilmoitus:"
"Post author","Artikkelin kirjoittaja"
"View all posts by %s","Näytä kaikki artikkelit kirjoittajalta %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Julkaistu %s kategoriassa %s avainsanoilla %s<span class=\"by-author\">, kirjoittanut %s</span>."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Julkaistu %s kategoriassa %s<span class=\"by-author\">, kirjoittanut %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Julkaistu %s<span class=\"by-author\">, kirjoittanut %s</span>."
"Menu","Valikko"
"Skip to content","Siirry sisältöön"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Julkaistu </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> alkuperäisessä koossa <a href=\"%s\" title=\"Linkki täysikokoiseen kuvaan\">%s &times; %s</a> sivulla <a href=\"%s\" title=\"Palaa sivulle %s\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; Edellinen"
"Next &rarr;","Seuraava &rarr;"
"No posts to display","Ei mitään nähtävää"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","Oletko valmis julkaisemaan ensimmäisen kirjoituksesi? <a href=\"%s\">Aloita tästä</a>."
"Search Results for: %s","Hakutulokset kohteelle: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Hakusi ei valitettavasti tuottanut yhtään tulosta. Yritä uudelleen eri hakusanoilla."
"Tag Archives: %s","Avainsana-arkisto: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","2012-teema on täysin mukautuva ja näyttää hyvältä joka päätelaitteella. Joitakin ominaisuuksia: erillinen etusivupohja omine vimpaimineen, valinnainen otsikkofontti, omat tyylit eri artikkelimuodoille ja valinnainen sivupalkiton sivupohja. Valikkoa, taustakuvaa ja otsakekuvaa voi muokata."
"the WordPress team","WordPress-tiimi"
"Front Page Template","Etusivu"
