"New password","Nové heslo"
"The timezone you have entered is not valid. Please select a valid timezone.","Zadané časové pásmo není platné. Vyberte prosím správné časové pásmo."
", and",", a "
"and"," a "
"ERROR: %s is not a valid feed template.","CHYBA: %s není platná šablona RSS zdroje."
"One or more database tables are unavailable. The database may need to be <a href=\"%s\">repaired</a>.","Minimálně jedna databázová tabulka není dostupná. Pravděpodobně bude potřeba databázi <a href=\"%s\">opravit</a>."
"Unable to create directory %s. Is its parent directory writable by the server?","Nepodařilo se vytvořit adresář %s. Zkontrolujte, zda má nadřazený adresář právo zápisu?"
"Empty filename","Prázdný název souboru"
"Invalid file type","Nesprávný typ souboru"
"Could not write file %s","Soubor %s nelze uložit."
"WordPress Failure Notice","Upozornění WordPressu na selhání"
"You are attempting to log out of %s","Pokoušíte se odhlásit z %s"
"Do you really want to <a href='%s'>log out</a>?","Opravdu se chcete <a href='%s'>odhlásit</a>?"
"Please try again.","Zkuste to prosím znovu."
"&laquo; Back","&laquo; Zpět"
"WordPress &rsaquo; Error","WordPress &rsaquo; Chyba"
"Database Error","Chyba databáze"
"Error establishing a database connection","Během připojování k databázovému serveru došlo k chybě"
"%s is <strong>deprecated</strong> since version %s! Use %s instead.","%s <strong>není podporována</strong> už od verze %s! Použijte prosím raději %s."
"%s is <strong>deprecated</strong> since version %s with no alternative available.","%s <strong>není podporována</strong> už od verze %s a v aktuální verzi nemá žádnou náhradu."
"%s was called with an argument that is <strong>deprecated</strong> since version %s! %s","Funkce %s byla použita s parametrem, který již od verze %s <strong>není podporován</strong>! %s"
"%s was called with an argument that is <strong>deprecated</strong> since version %s with no alternative available.","Funkce %s byla použita s parametrem, který již od verze %s <strong>není podporován</strong> a není dostupná ani žádná jeho náhrada."
"(This message was added in version %s.)","(Tato zpráva se nově zobrazuje od verze %s.)"
"Please see <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugging in WordPress</a> for more information.","Další informace o testování programu a hledání chyb naleznete v manuálu na stránce <a href=\"http://codex.wordpress.org/Debugging_in_WordPress\">Debugování ve WordPressu</a> (anglicky)."
"%s was called <strong>incorrectly</strong>. %s %s","Funkce %s byla použita <strong>nesprávným</strong> způsobem. %s %s"
"Select a city","Vyberte město"
"Manual Offsets","Ruční nastavení časového posunu"
"Scripts and styles should not be registered or enqueued until the %s, %s, or %s hooks.","Skripty a styly by neměly být registrovány nebo načítány jinak než s pomocí následujících možností pro napojení vlastních funkcí do WordPressu: %s, %s nebo %s."
"Search for:","Hledat:"
"Log in","Přihlásit se"
"Log out","Odhlásit se"
"Username","Uživatelské jméno"
"Password","Heslo"
"Remember Me","Pamatovat si mě"
"Log In","Přihlásit se"
"Register","Registrace"
"Site Admin","Administrace webu"
"The <code>%s</code> option is deprecated for the family of <code>bloginfo()</code> functions.","Parametr <code>%s</code> pro funkci <code>bloginfo()</code> už není nadále podporován."
"Use the <code>%s</code> option instead.","Použijte místo něj raději parametr <code>%s</code>."
"Search Results %s %s","Výsledky vyhledávání %s %s"
"Page not found","Stránka nebyla nalezena"
"View posts for %s %s","Zobrazit příspěvky z %s %s"
"%s %s Feed","%s %s RSS zdroj"
"%s %s Comments Feed","%s %s RSS komentářů"
"%s %s %s Comments Feed","%s %s RSS komentářů pro %s"
"%s %s %s Category Feed","%s %s RSS pro rubriku %s"
"%s %s %s Tag Feed","%s %s RSS pro štítek %s"
"%s %s Posts by %s Feed","%s %s RSS pro autora %s"
"%s %s Search Results for &#8220;%s&#8221; Feed","%s %s RSS výsledků vyhledávání výrazu &#8222;%s&#8220;"
"%s %s %s Feed","%s %s RSS pro %s"
"&laquo; Previous","&laquo; Předchozí"
"Next &raquo;","Další &raquo;"
"Blue","Modrá"
"Gray","Šedivá"
"Do you want to use the WYSIWYG mode for this textarea?","Chcete použít vizuální editor pro toto textové pole?"
"Apply","Použít"
"Insert","Vložit"
"Close","Zavřít"
"Browse","Procházet"
"Class","Třída"
"-- Not set --","-- Nenastaveno --"
"Copy/Cut/Paste is not available in Mozilla and Firefox.","Funkce Kopírovat/Vyjmout/Vložit nejsou v prohlížeči Mozilla Firefox podporovány."
"Currently not supported by your browser, use keyboard shortcuts instead.","Tato funkce není vaším prohlížečem zatím podporována, použijte místo ní klávesové zkratky."
"Sorry, but we have noticed that your popup-blocker has disabled a window that provides application functionality. You will need to disable popup blocking on this site in order to fully utilize this tool.","Používáte patrně nějaký způsob blokování vyskakovacích (popup) oken ve vašem prohlížeči, který však bohužel omezuje funkčnost WordPressu. Pro využití všech dostupných funkcí budete muset vyskakovací okna pravděpodobně povolit."
"ERROR: Invalid values entered, these are marked in red.","CHYBA: Červeně zvýrazněné údaje nebyly správně zadány."
"{#field} must be a number","{#field} musí být číslo"
"{#field} must be a number greater than {#min}","{#field} musí být číslo větší než {#min}"
"{#field} must be a number or percentage","{#field} musí být číslo nebo procento"
"More colors","Další barvy"
"Black","Černá"
"Burnt orange","Tmavě oranžová"
"Dark olive","Tmavě olivová"
"Dark green","Tmavě zelená"
"Dark azure","Tmavě azurová"
"Navy Blue","Tmavě modrá"
"Indigo","Indigová"
"Very dark gray","Tmavě šedá"
"Maroon","Kaštanová"
"Orange","Oranžová"
"Olive","Olivová"
"Green","Zelená"
"Teal","Zelenomodrá"
"Grayish blue","Šedomodrá"
"Red","Červená"
"Amber","Jantarová"
"Yellow green","Žlutozelená"
"Sea green","Modrozelená"
"Turquoise","Tyrkysová"
"Royal blue","Královská modrá"
"Purple","Purpurová"
"Medium gray","Světle šedá"
"Magenta","Nachová"
"Gold","Zlatá"
"Yellow","Žlutá"
"Lime","Citronová"
"Aqua","Jasně modrá"
"Sky blue","Nebesky modrá"
"Brown","Hnědá"
"Silver","Stříbrná"
"Pink","Růžová"
"Peach","Broskvová"
"Light yellow","Světle žlutá"
"Pale green","Světle zelená"
"Pale cyan","Světle azurová"
"Light sky blue","Světle modrá"
"Plum","Švestková"
"White","Bílá"
"Alignment","Zarovnání"
"Full","Do bloku"
"%sY-%sm-%d","%sj.%sn.%sY"
"%sH:%sM:%sS","%sG:%si"
"Insert date","Vložit datum"
"Insert time","Vložit čas"
"January","Leden"
"February","Únor"
"March","Březen"
"April","Duben"
"May","Květen"
"June","Červen"
"July","Červenec"
"August","Srpen"
"September","Září"
"October","Říjen"
"November","Listopad"
"December","Prosinec"
"Jan_January_abbreviation","Led"
"Feb_February_abbreviation","Úno"
"Mar_March_abbreviation","Bře"
"Apr_April_abbreviation","Dub"
"May_May_abbreviation","Kvě"
"Jun_June_abbreviation","Čer"
"Jul_July_abbreviation","Čec"
"Aug_August_abbreviation","Srp"
"Sep_September_abbreviation","Zář"
"Oct_October_abbreviation","Říj"
"Nov_November_abbreviation","Lis"
"Dec_December_abbreviation","Pro"
"Sunday","Neděle"
"Monday","Pondělí"
"Tuesday","Úterý"
"Wednesday","Středa"
"Thursday","Čtvrtek"
"Friday","Pátek"
"Saturday","Sobota"
"Sun","Ne"
"Mon","Po"
"Tue","Út"
"Wed","St"
"Thu","Čt"
"Fri","Pá"
"Sat","So"
"Print","Tisk"
"Preview","Náhled"
"Direction left to right","Směr zleva doprava"
"Direction right to left","Směr zprava doleva"
"Insert new layer","Vložit novou vrstvu"
"Move forward","Přesunout do popředí"
"Move backward","Přesunout do pozadí"
"Toggle absolute positioning","Přepnout absolutní pozicování"
"New layer...","Nová vrstva..."
"Cancel all changes","Zrušit všechny změny"
"Insert non-breaking space character","Vložit pevnou mezeru (neumožňuje zalomení)"
"Run spell checking","Spustit kontrolu pravopisu"
"ieSpell not detected. Do you want to install it now?","Nepodařilo se najít ieSpell. Chcete ho nyní nainstalovat?"
"Horizontal rule","Vodorovná čára"
"Emotions","Smajlíci"
"Find","Najít"
"Find/Replace","Najít/Nahradit"
"Insert/edit image","Vložit/upravit obrázek"
"Insert/edit link","Vložit/upravit odkaz"
"Citation","Citace"
"Abbreviation","Zkratka"
"Acronym","Akronym"
"Deletion","Smazání"
"Insertion","Vložení"
"Insert/Edit Attributes","Vložit/upravit atributy"
"Edit CSS Style","Upravit CSS styl"
"Paste as Plain Text","Vložit jako neformátovaný text"
"Paste from Word","Vložit text z Wordu"
"Select All","Vybrat vše"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","Aktivovali jste funkci pro vkládání zkopírovaného textu do editoru v jeho neformátované podobě. Opakovaným kliknutím na tlačítko nebo vložením nějakého textu se přepnete zpět do normálního režimu."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","Aktivovali jste funkci pro vkládání zkopírovaného textu do editoru v jeho neformátované podobě. Opakovaným kliknutím na tlačítko se přepnete zpět do normálního režimu."
"Use CTRL+V on your keyboard to paste the text into the window.","Pro vložení textu do okna použijte klávesovou zkratku CTRL+V."
"Keep linebreaks","Ponechat zalomení řádků"
"Inserts a new table","Vložit novou tabulku"
"Insert row before","Vložit řádek před"
"Insert row after","Vložit řádek za"
"Delete row","Smazat řádek"
"Insert column before","Vložit sloupec před"
"Insert column after","Vložit sloupec za"
"Remove column","Odstranit sloupec"
"Split merged table cells","Rozdělit sloučené buňky tabulky"
"Merge table cells","Sloučit buňky tabulky"
"Table row properties","Vlastnosti řádku tabulky"
"Table cell properties","Vlastnosti buňky tabulky"
"Table properties","Vlastnosti tabulky"
"Paste table row before","Vložit řádek tabulky před"
"Paste table row after","Vložit řádek tabulky za"
"Cut table row","Vyjmout řádek tabulky"
"Copy table row","Kopírovat řádek tabulky"
"Delete table","Smazat tabulku"
"Row","Řádek"
"Column","Sloupec"
"Cell","Buňka"
"The changes you made will be lost if you navigate away from this page.","Provedené změny budou ztraceny, pokud opustíte tuto stránku."
"Toggle fullscreen mode (Alt + Shift + G)","Přepnout na celou obrazovku (Alt + Shift + G)"
"Insert / edit embedded media","Vložit / upravit mediální soubor"
"Edit embedded media","Upravit mediální soubor"
"Document properties","Vlastnosti dokumentu"
"Insert predefined template content","Vložit přednastavenou šablonu pro obsah"
"Visual control characters on/off.","Zapnout/vypnout zobrazení řídících znaků."
"Toggle spellchecker (Alt + Shift + N)","Spustit kontrolu pravopisu (Alt + Shift + N)"
"Spellchecker settings","Nastavení kontroly pravopisu"
"Ignore word","Přeskočit slovo"
"Ignore all","Přeskočit vše"
"Languages","Jazyky"
"Please wait...","Prosím čekejte..."
"Suggestions","Návrhy"
"No suggestions","Žádné návrhy"
"This is somewhat embarrassing, isn&rsquo;t it?","Omlouváme se, ale došlo k poněkud nepříjemné situaci."
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Patrně jste chtěli na webu zobrazit něco, co se zde bohužel nenachází. Můžete ale ještě zkusit vyhledávání pomocí zadaného klíčového slova."
"Daily Archives: %s","Archiv pro den: %s"
"Monthly Archives: %s","Archiv pro měsíc: %s"
"Yearly Archives: %s","Archiv pro rok: %s"
"Author Archives: %s","Archiv autora: %s"
"About %s","Autor: %s"
"Category Archives: %s","Archiv pro rubriku: %s"
"One thought on &ldquo;%s&rdquo;","1 komentář u &bdquo;%s&ldquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s komentáře u &bdquo;%s&ldquo;"
"Comment navigation","Navigace pro komentáře"
"&larr; Older Comments","&larr; Starší komentáře"
"Newer Comments &rarr;","Novější komentáře &rarr;"
"Permalink to %s","Trvalý odkaz na %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Celý příspěvek <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Napsat komentář"
"1 Reply","1 komentář"
"%s Replies","%s komentáře"
"Nothing Found","Nenalezeno"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Omlouváme se, ale nebyly nalezeny žádné příspěvky. Můžete ale zkusit najít související příspěvky pomocí vyhledávání."
"Featured post","Doporučujeme"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Zobrazit všechny příspěvky, jejichž autorem je %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Sémantický osobní redakční systém"
"Proudly powered by %s","Používáme %s (v češtině)."
"Primary Menu","Základní navigační menu"
"Page %s","%s. stránka"
"Main Sidebar","Hlavní postranní panel"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Widgety v postranním panelu budou zobrazené na celém webu kromě stránek s volitelnými šablonami, které buď obsahují své vlastní oblasti pro widgety nebo vůbec nemají postranní panel."
"First Front Page Widget Area","Levá spodní část na úvodní stránce"
"Appears when using the optional Front Page template with a page set as Static Front Page","Speciální oblast s widgety bude zobrazena pouze na stránce, která byla v nastavení zvolena jako úvodní stránka webu a zároveň využívá speciální šablonu pro úvodní stránku."
"Second Front Page Widget Area","Pravá spodní část na úvodní stránce"
"Post navigation","Navigace pro příspěvky"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Starší příspěvky"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Novější příspěvky <span class=\"meta-nav\">&rarr;</span>"
"Post author","Autor příspěvku"
"View all posts by %s","Zobrazit všechny příspěvky, jejichž autorem je %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Příspěvek byl publikován %s | Rubrika: %s | Štítky: %s<span class=\"by-author\"> | Autor: %s</span>."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Příspěvek byl publikován %s | Rubrika: %s<span class=\"by-author\"> | Autor: %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Příspěvek byl publikován %s<span class=\"by-author\"> | Autor: %s</span>."
"Skip to content","Přejít k obsahu webu"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Publikováno </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> | Rozměry: <a href=\"%s\" title=\"Odkaz na původní velikost obrázku\">%s &times; %s</a> | Přiřazeno: <a href=\"%s\" title=\"Zpět na %s\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; Předchozí"
"Next &rarr;","Další &rarr;"
"No posts to display","Nebyly nalezeny žádné příspěvky"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","Chystáte se publikovat svůj první příspěvek? <a href=\"%s\">Můžete rovnou začít zde</a>."
"Search Results for: %s","Výsledky vyhledávání pro: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Omlouváme se, ale hledaný výraz nebyl na webu nalezen. Zkuste to prosím znovu s nějakým jiným klíčovým slovem."
"Tag Archives: %s","Archiv pro štítek: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","Twenty Twelve (2012) je flexibilní výchozí šablona pro WordPress, která se dokáže automaticky přizpůsobit podle toho, na jakém zařízení je aktuálně zobrazena. Mezi nejzajímavější funkce patří speciální šablona pro úvodní stránku (obsahuje samostatné oblasti pro umístění widgetů), graficky povedený font (Open Sans), rozšířená podpora zobrazování různých formátů příspěvků a volitelná šablona pro stránky bez postranního panelu. Vzhled webu můžete samozřejmě ještě přizpůsobit pomocí dalších standardních nástrojů (správa vlastního menu a nastavení záhlaví a pozadí)."
"the WordPress team","Vývojáři WordPressu (a překladatelé)"
"Front Page Template","Úvodní stránka webu"
