"New password","Nova lozinka"
"Insert non-breaking space character","Unesi prazan prostor"
"Run spell checking","Pokreni provjeru pravopisa"
"ieSpell not detected. Do you want to install it now?","ieSpell nije pronađen. Želite li ga instalirati sada?"
"Horizontal rule","Vodoravna linija"
"Emotions","Emotikoni"
"Find","Traži"
"Find/Replace","Traži/Zamijeni"
"Insert/edit image","Unesi/uredi sliku"
"Insert/edit link","Unesi/uredi poveznicu"
"Citation","Citat"
"Abbreviation","Skraćenica"
"Acronym","Akronim"
"Deletion","Brisanje"
"Insertion","Unos"
"Insert/Edit Attributes","Unesi/uredi svojstva"
"Edit CSS Style","Uredi CSS Stil"
"Paste as Plain Text","Zalijepi kao običan tekst"
"Paste from Word","Zalijepi iz Worda"
"Select All","Odaberi sve"
"Paste is now in plain text mode. Click again to toggle back to regular paste mode. After you paste something you will be returned to regular paste mode.","'Zalijepi' je sada u režimu običnog teksta. Klikni ponovno za povratak u obični 'Zalijepi' režim. Nakon što zalijepite nešto vratiti ćemo vas u običan 'Zalijepi' režim."
"Paste is now in plain text mode. Click again to toggle back to regular paste mode.","'Zalijepi' je sada u režimu običnog teksta. Klikni ponovno za povratak u obični 'Zalijepi' režim. "
"Use CTRL+V on your keyboard to paste the text into the window.","Prečacom CTRL+V na vašoj tipkovnici možete zalijepiti tekst u prozor."
"Keep linebreaks","Zadrži prijelome redaka"
"Inserts a new table","Umeće novu tablicu"
"Insert row before","Unesi red prije"
"Insert row after","Unesi red poslije"
"Delete row","Izbriši red"
"Insert column before","Unesi stupac prije"
"Insert column after","Unesi stupac poslije"
"Remove column","Ukloni stupac"
"Split merged table cells","Razdvoji spojene ćelije tablice"
"Merge table cells","Spoji ćelije tablice"
"Table row properties","Obilježja retka tablice"
"Table cell properties","Obilježja ćelije tablice"
"Table properties","Obilježja tablice"
"Paste table row before","Zalijepi redak tablice ispred ovog retka"
"Paste table row after","Zalijepi redak tablice iza ovog retka"
"Cut table row","Izreži red tablice"
"Copy table row","Kopiraj red tablice"
"Delete table","Izbriši tablicu"
"Row","Redak"
"Column","Stupac"
"Cell","Ćelija"
"The changes you made will be lost if you navigate away from this page.","Ukoliko odete s ove stranice, promjene koje ste izvršili bit će izgubljene."
"Toggle fullscreen mode (Alt + Shift + G)","Prikaži/sakrij prikaz cijelog zaslona (Alt + Shift + G)"
"Insert / edit embedded media","Unesi / uredi ugradivu medijsku datoteku"
"Edit embedded media","Uredi ugrađene medijske datoteke"
"Document properties","Svojstva dokumenta"
"Insert predefined template content","Unesi predefinirani sadržaj predloška"
"Visual control characters on/off.","Uključi/isključi znakove vizualne kontrole"
"Toggle spellchecker (Alt + Shift + N)","Prikaži/sakrij provjeru pravopisa (Alt + Shift + N)"
"Spellchecker settings","Postavke provjere pravopisa"
"Ignore word","Zanemari riječ"
"Ignore all","Zanemari sve"
"Languages","Jezici"
"Please wait...","Molim pričekajte..."
"Suggestions","Prijedlozi"
"No suggestions","Nemamo prijedloga"
"This is somewhat embarrassing, isn&rsquo;t it?","Ovo je pomalo sramotno, zar ne?"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","Izgleda da ne možemo pronaći ono što tražite. Možda pretraga može pomoći."
"Daily Archives: %s","Dnevni Arhivi: %s"
"Monthly Archives: %s","Mjecečni arhivi: %s"
"Yearly Archives: %s","Godišnji arhivi: %s"
"Author Archives: %s","Arhiva Autora: %s"
"About %s","O autoru %s"
"Category Archives: %s","Arhiva Kategorije: %s"
"One thought on &ldquo;%s&rdquo;","Jedna misao o &ldquo;%s&rdquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s misli o &ldquo;%s&rdquo;"
"Comment navigation","Navigacija komentara"
"&larr; Older Comments","&larr; Stariji Komentari"
"Newer Comments &rarr;","Noviji Komentari &rarr;"
"Permalink to %s","Stalna veza na %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","Nastavi čitati <span class=\"meta-nav\">&rarr;</span>"
"Leave a reply","Napiši odgovor"
"1 Reply","1 Odgovor"
"%s Replies","%s Odgovora"
"Nothing Found","Ništa nije pronađeno"
"Apologies, but no results were found. Perhaps searching will help find a related post.","Ispričavamo se, ali nema nikakvih rezultata. Možda će pretraga pomoći pronaći srodni post."
"Featured post","Istaknuti post"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","Pogledaj sve postove od %s <span class=\"meta-nav\">&rarr;</span>"
"Semantic Personal Publishing Platform","Osobna Semantička Izdavačka Platforma"
"Proudly powered by %s","Ponosno pokreće %s"
"Primary Menu","Primarni Izbornik"
"on","uklj."
"no-subset","bez-podpostavki"
"Page %s","Stranica %s"
"Main Sidebar","Glavna Bočna traka"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","Prikazuje se na postovima i stranicama osim na opcionalnom Predlošku Početne Stranice, koja ima svoje widgete."
"First Front Page Widget Area","Prvo Widget Područje Početne Stranice"
"Appears when using the optional Front Page template with a page set as Static Front Page","Prikazuje se kada se koristi opcionalni Predložak Početne Stranice sa stranicom postavljenom na Statična Početna Stranica."
"Second Front Page Widget Area","Drugo Widget Područje Početne Stranice"
"Post navigation","Post Navigacija"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&larr;</span> Stariji postovi"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","Noviji postovi <span class=\"meta-nav\">&rarr;</span>"
"Post author","Post Autor"
"View all posts by %s","Pogledaj sve postove od %s"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","Ovaj unos je objavljen u %s i označen sa %s u %s<span class=\"by-author\"> autor %s</span>."
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","Ovaj unos je objavljen u %s dana %s<span class=\"by-author\"> autor %s</span>."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","Ovaj unos je objavljen u %s<span class=\"by-author\"> autor %s</span>."
"Menu","Izbornik"
"Skip to content","Skoči do sadržaja"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">Objavljeno </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> u <a href=\"%s\" title=\"Poveznica do slike pune veličine\">%s &times; %s</a> u <a href=\"%s\" title=\"Povratak na %s\" rel=\"gallery\">%s</a>."
"&larr; Previous","&larr; Prethodno"
"Next &rarr;","Sljedeće &rarr;"
"No posts to display","Nema postova za prikazati"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","Spremani objaviti vaš prvi post? <a href=\"%s\">Započnite ovdje</a>."
"Search Results for: %s","Rezultati Pretrage za: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","Žalim, ali ništa se ne podudara sa vašim kriterijima pretraživanja. Molim pokušajte opet sa nekim drugim ključnim riječima."
"Tag Archives: %s","Arhiva Oznaka: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","Tema 2012 za WordPress je u potpunosti odazivna tema koja izgleda odlično na bilo kojem uređaju. Njene mogućnosti uključuju predložak početne stranice sa njenim vlastitim widgetima, opcionalni font, stajling za post formate i na početnoj stranici i samostalnom pregledu posta i opcionalni predložak stranice bez bočne trake. Personalizirajte ju sa prilagođenim izbornikom, slikom zaglavlja i pozadinom."
"the WordPress team","WordPress tim"
"Front Page Template","Predložak Početne Stranice"
