"New password","סיסמה חדשה"
"Insert / edit embedded media","הכנסת / עריכת מדיה embed"
"Edit embedded media","עריכת מדיה embed"
"Document properties","מאפייני מסמך"
"Insert predefined template content","להכניס תוכן מוגדר מראש מהתבנית"
"Visual control characters on/off.","הצג/הסתר תווי בקרה ויזואליים"
"Toggle spellchecker (Alt + Shift + N)","הפעל/כבה בודק איות (Alt + Shift + N)"
"Spellchecker settings","הגדרות בודק האיות"
"Ignore word","להתעלם"
"Ignore all","להתעלם תמיד"
"Languages","שפות"
"Please wait...","נא להמתין."
"Suggestions","הצעות"
"No suggestions","אין הצעות"
"This is somewhat embarrassing, isn&rsquo;t it?","זה קצת מביך, לא?"
"It seems we can&rsquo;t find what you&rsquo;re looking for. Perhaps searching can help.","נראה שלא הצלחנו למצוא את מה שחיפשת. ייתכן שביצוע חיפוש יסייע."
"Daily Archives: %s","ארכיון יומי: %s"
"Monthly Archives: %s","ארכיון חודשי: %s"
"Yearly Archives: %s","ארכיון שנתי: %s"
"Author Archives: %s","ארכיון מחבר: %s&rlm;"
"About %s","אודות %s"
"Category Archives: %s","ארכיון הקטגוריה: %s"
"One thought on &ldquo;%s&rdquo;","תגובה אחת &ldquo;%s&rdquo;"
"%s thoughts on &ldquo;%s&rdquo;","%s תגובות &ldquo;%s&rdquo;"
"Comment navigation","ניווט בתגובות"
"&larr; Older Comments","&rarr; תגובות ישנות יותר"
"Newer Comments &rarr;","תגובות חדשות יותר &larr;"
"Permalink to %s","קישור קבוע לפוסט %s"
"Continue reading <span class=\"meta-nav\">&rarr;</span>","להמשיך לקרוא <span class=\"meta-nav\">&larr;</span>"
"Leave a reply","להגיב"
"1 Reply","תגובה אחת"
"%s Replies","%s תגובות"
"Nothing Found","לא נמצאו תוצאות"
"Apologies, but no results were found. Perhaps searching will help find a related post.","אנו מצטערים, לא נמצאו תוצאות. חיפוש עשוי לסייע באיתור פריטים דומים."
"Featured post","פוסט ראשי"
"View all posts by %s <span class=\"meta-nav\">&rarr;</span>","כל הפוסטים של %s&rlm; <span class=\"meta-nav\">&larr;</span>"
"Semantic Personal Publishing Platform","מערכת פרסום אישית סמנטית"
"Proudly powered by %s","פועל על %s"
"Primary Menu","תפריט ראשי"
"on","off"
"Page %s","עמוד %s"
"Main Sidebar","סרגל צדדי ראשי"
"Appears on posts and pages except the optional Front Page template, which has its own widgets","מוצג בפוסטים ועמודים, פרט לתבנית עמוד ראשי לה יש וידג'טים משלה."
"First Front Page Widget Area","אזור ווידג'טים ראשון בעמוד הראשי"
"Appears when using the optional Front Page template with a page set as Static Front Page","מוצג כשמשתמשים בתבנית עמוד ראשי, עם הגדרת תצוגת עמוד ראשי סטטי."
"Second Front Page Widget Area","אזור ווידג'טים שני בעמוד הראשי"
"Post navigation","ניווט בפוסטים"
"<span class=\"meta-nav\">&larr;</span> Older posts","<span class=\"meta-nav\">&rarr;</span> פוסטים ישנים יותר"
"Newer posts <span class=\"meta-nav\">&rarr;</span>","פוסטים חדשים יותר <span class=\"meta-nav\">&larr;</span>"
"Pingback:","פינגבאק:"
"Post author","מאת"
"View all posts by %s","כל הפוסטים מאת %s&rlm;"
"This entry was posted in %s and tagged %s on %s<span class=\"by-author\"> by %s</span>.","פוסט <span class=\"by-author\"> מאת %s</span> פורסם בתאריך %s בקטגוריה %s וסומן בתגיות %s. "
"This entry was posted in %s on %s<span class=\"by-author\"> by %s</span>.","פוסט <span class=\"by-author\"> מאת %s</span> פורסם בקטגוריה %s בתאריך %s."
"This entry was posted on %s<span class=\"by-author\"> by %s</span>.","פוסט <span class=\"by-author\"> מאת %s</span> פורסם בתאריך %s. "
"Menu","תפריט"
"Skip to content","מעבר לתוכן"
"<span class=\"meta-prep meta-prep-entry-date\">Published </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> at <a href=\"%s\" title=\"Link to full-size image\">%s &times; %s</a> in <a href=\"%s\" title=\"Return to %s\" rel=\"gallery\">%s</a>.","<span class=\"meta-prep meta-prep-entry-date\">פורסם </span> <span class=\"entry-date\"><time class=\"entry-date\" datetime=\"%s\">%s</time></span> ב <a href=\"%s\" title=\"תמונה בגודל מלא\">%s &times; %s</a> ב <a href=\"%s\" title=\"חזרה אל %s\" rel=\"gallery\">%s</a>."
"&larr; Previous","תמונה קודמת"
"Next &rarr;","תמונה הבאה"
"No posts to display","אין פוסטים להצגה"
"Ready to publish your first post? <a href=\"%s\">Get started here</a>.","מוכנים לפרסום הפוסט הראשון שלכם? <a href=\"%s\">התחילו כאן</a>."
"Search Results for: %s","תוצאות חיפוש: %s"
"Sorry, but nothing matched your search criteria. Please try again with some different keywords.","לא נמצא תוצאות מתאימות, יש לנסות שוב עם מילות חיפוש אחרות."
"&larr;","&rarr;"
"&rarr;","&larr;"
"Tag Archives: %s","ארכיון תגית: %s"
"The 2012 theme for WordPress is a fully responsive theme that looks great on any device. Features include a front page template with its own widgets, an optional display font, styling for post formats on both index and single views, and an optional no-sidebar page template. Make it yours with a custom menu, header image, and background.","תבנית 2012 לוורדפרס היא תבנית מגיבה (רספונסיבית) מלאה שנראית טוב בכל מכשיר קצה. היא עושה שימוש בתבנית עמוד ייעודית להצגת עמוד ראשי עם ווידג'טים נפרדים, הצגת גופנים אופציונלית, עיצוב של פורמטים בעמודי ארכיון ועמודי תוכן, ותבנית עמוד לתצוגה במסך מלא ללא סרגלי צד. התאימו אותה לצרכים שלכם עם תפריטים מותאמים אישית, תמונות כותרות, ורקעים."
"the WordPress team","צוות וורדפרס"
"Front Page Template","תבנית לעמוד ראשי"
